tau_hours,family,horizon_h,group_kind,group,subset,scheduled_rows,observed_n,paired_n,failures,hits,hit_fraction,mae_m,bias_m,p98_abs_m,max_abs_m
6,reference,6,trend,rising,level_ge_7m,105,105,105,0,46,0.4380952380952381,0.9532801653573137,0.032868315952029756,4.077242205308781,4.815243764623784
6,reference,6,trend,stable,all,627,625,625,0,529,0.8464,0.29804476797098534,0.03986666397600357,1.100184219237336,3.228196029465634
6,reference,6,trend,stable,level_ge_7m,32,32,32,0,21,0.65625,0.634592337727095,0.4106324183084664,2.3238616711275055,3.228196029465634
6,reference,6,trend,unknown,all,32,21,9,12,6,0.6666666666666666,0.4070143949687178,-0.2323830191329886,0.7621170721019989,0.7699499536713823
6,reference,6,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.7699499536713823,0.7699499536713823,0.7699499536713823,0.7699499536713823
6,reference,7,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,30,0.8571428571428571,0.2685744168324693,-0.14483521761900303,0.6622573087758287,0.6714964260275398
6,reference,7,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,34,0.2556390977443609,1.2350388278571087,0.36436585459938403,4.1871940420437195,5.691324727293669
6,reference,7,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,21,0.42857142857142855,0.5617774817409196,0.4410084814589895,1.075214102262541,1.0870256813516086
6,reference,7,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,15,0.8333333333333334,0.2957041049071811,-0.13077659951593162,0.7786473244714123,0.8009752325423563
6,reference,7,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,7,trend,falling,all,846,838,837,1,572,0.6833930704898447,0.41256491433129244,-0.06880146267209766,1.370421476149771,3.937424309910652
6,reference,7,trend,falling,level_ge_7m,94,94,93,1,44,0.4731182795698925,0.7438637792794107,0.4743277025723172,3.26172330595917,3.937424309910652
6,reference,7,trend,rising,all,456,455,455,0,345,0.7582417582417582,0.42604650983008135,-0.054954879830343535,2.5217475069760433,5.691324727293669
6,reference,7,trend,rising,level_ge_7m,109,109,109,0,39,0.3577981651376147,1.0306125509705957,0.03862139126982287,4.444696071551491,5.691324727293669
6,reference,7,trend,stable,all,627,623,623,0,505,0.8105939004815409,0.3377991279367369,0.07120735815588641,1.3398255493042701,3.4328456680570287
6,reference,7,trend,stable,level_ge_7m,32,32,32,0,17,0.53125,0.7511385751810495,0.41772342513837524,2.4939603134832664,3.4328456680570287
6,reference,7,trend,unknown,all,32,22,9,13,5,0.5555555555555556,0.5274339071744679,-0.28753155385127654,0.9561333323039674,0.957505253192485
6,reference,7,trend,unknown,level_ge_7m,2,2,1,1,0,0.0,0.957505253192485,0.957505253192485,0.957505253192485,0.957505253192485
6,reference,8,event,594b4ac32b57fab12c848086,level_ge_7m,35,35,35,0,28,0.8,0.30446302282061205,-0.19339665316357926,0.773958368710772,0.7907800936536482
6,reference,8,event,a801ac814e2dfee4fc14bea5,level_ge_7m,135,135,133,2,31,0.23308270676691728,1.3748659224851614,0.34963712111637457,4.9794377910638286,6.120423180923719
6,reference,8,event,f803fdacd0779dfe9e87b834,level_ge_7m,49,49,49,0,20,0.40816326530612246,0.5849267576213454,0.47764673301920835,1.1141399540400307,1.1571793957334382
6,reference,8,event,dcbe85f6ad3172a997c77a58,level_ge_7m,18,18,18,0,15,0.8333333333333334,0.2965661820885368,-0.12272075999384402,0.9014918030575279,0.9375311055876532
6,reference,8,event,unassigned,level_ge_7m,0,0,0,0,0,,,,,
6,reference,8,trend,falling,all,845,837,836,1,511,0.611244019138756,0.4736060357182524,-0.10951209692395214,1.4308050433041566,4.652455920643014
6,reference,8,trend,falling,level_ge_7m,89,89,88,1,37,0.42045454545454547,0.8351372894440608,0.5049670970885048,3.952422497443254,4.652455920643014
6,reference,8,trend,rising,all,456,455,455,0,339,0.7450549450549451,0.4604117037850285,-0.03382211602097985,2.6576414340280925,6.120423180923719
6,reference,8,trend,rising,level_ge_7m,112,112,112,0,40,0.35714285714285715,1.1099830572259288,0.034420845065373365,5.193812623428749,6.120423180923719
