tau_hours,origin,target_time,recomputed_m,saved_m,abs_difference_m
12,2026-07-22T09:00:00-03:00,2026-07-22T14:00:00-03:00,16.543330551402793,16.543330551402793,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T15:00:00-03:00,15.79809790195622,15.79809790195622,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T16:00:00-03:00,15.0119162804908,15.0119162804908,0.0
12,2026-07-22T09:00:00-03:00,2026-07-22T17:00:00-03:00,13.97182893431597,13.971828934315973,1.7763568394002505e-15
12,2026-07-22T09:00:00-03:00,2026-07-22T18:00:00-03:00,12.560837852464754,12.560837852464752,1.7763568394002505e-15
12,2026-07-22T09:00:00-03:00,2026-07-22T19:00:00-03:00,11.40227160451819,11.402271604518187,3.552713678800501e-15
12,2026-07-22T09:00:00-03:00,2026-07-22T20:00:00-03:00,10.238858934652589,10.238858934652587,1.7763568394002505e-15
12,2026-07-22T09:00:00-03:00,2026-07-22T21:00:00-03:00,8.93112873869612,8.931128738696119,1.7763568394002505e-15
12,2026-07-22T11:00:00-03:00,2026-07-22T12:00:00-03:00,19.147087736776722,19.147087736776722,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T13:00:00-03:00,19.750797722861737,19.750797722861737,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T14:00:00-03:00,20.391258930237704,20.391258930237704,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T15:00:00-03:00,21.212269863285456,21.212269863285456,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T16:00:00-03:00,21.91184119629728,21.91184119629728,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T17:00:00-03:00,22.573420123649456,22.573420123649456,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T18:00:00-03:00,23.01139419124619,23.01139419124619,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T19:00:00-03:00,23.686964042904428,23.686964042904428,0.0
12,2026-07-22T11:00:00-03:00,2026-07-22T20:00:00-03:00,24.364057116804915,24.364057116804915,0.0
