tau_hours,horizon_h,subset,family,population,n,hits,hit_fraction,mae_m,rmse_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
12,1,level_ge_7m,reference,individual,235,224,0.9531914893617022,0.1653212941958846,0.25374404605516354,0.03619607224255922,0.337904212693461,0.709248074071875,1.3458884373571722
12,1,level_ge_7m,reference,common_three,235,224,0.9531914893617022,0.1653212941958846,0.25374404605516354,0.03619607224255922,0.337904212693461,0.709248074071875,1.3458884373571722
6,1,level_ge_7m,julho_levels,individual,235,216,0.9191489361702128,0.20939758909623613,0.2975186900338787,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
6,1,level_ge_7m,julho_levels,common_three,235,216,0.9191489361702128,0.20939758909623613,0.2975186900338787,0.09118680180342129,0.46690376255440635,0.785805350933425,1.3363363795546643
2,1,level_ge_7m,julho_levels,individual,235,163,0.6936170212765957,0.39850606520745524,0.5252028287212357,0.25150733334158043,1.038813216242995,1.1442240169026032,1.413746453726569
2,1,level_ge_7m,julho_levels,common_three,235,163,0.6936170212765957,0.39850606520745524,0.5252028287212357,0.25150733334158043,1.038813216242995,1.1442240169026032,1.413746453726569
12,1,level_ge_7m,julho_levels,individual,235,224,0.9531914893617022,0.16497093712666638,0.2526762207040435,0.038580926492639576,0.34171152602774735,0.7151521197475484,1.3381064972736185
12,1,level_ge_7m,julho_levels,common_three,235,224,0.9531914893617022,0.16497093712666638,0.2526762207040435,0.038580926492639576,0.34171152602774735,0.7151521197475484,1.3381064972736185
6,2,all,reference,individual,1935,1739,0.8987080103359173,0.20571189408648383,0.29755211607733767,0.0011452302137218641,0.5048253078435446,0.8082694383609288,2.1591250166535616
6,2,all,reference,common_three,1935,1739,0.8987080103359173,0.20571189408648383,0.29755211607733767,0.0011452302137218641,0.5048253078435446,0.8082694383609288,2.1591250166535616
2,2,all,reference,individual,1935,1657,0.8563307493540052,0.29046099569059586,0.40284179207287407,-0.008402753411806605,0.5875695059573011,1.2814942620353758,2.070312570131458
2,2,all,reference,common_three,1935,1657,0.8563307493540052,0.29046099569059586,0.40284179207287407,-0.008402753411806605,0.5875695059573011,1.2814942620353758,2.070312570131458
12,2,all,reference,individual,1935,1774,0.9167958656330749,0.19232088235997832,0.28384069824205244,0.0034104863675976623,0.45987989840393756,0.7501986525906661,2.3628209226494157
12,2,all,reference,common_three,1935,1774,0.9167958656330749,0.19232088235997832,0.28384069824205244,0.0034104863675976623,0.45987989840393756,0.7501986525906661,2.3628209226494157
6,2,all,julho_levels,individual,1935,1720,0.8888888888888888,0.2116940232787009,0.30246951095986985,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
6,2,all,julho_levels,common_three,1935,1720,0.8888888888888888,0.2116940232787009,0.30246951095986985,0.009647598896085987,0.5225611023169295,0.8086405684490644,2.1256756873033744
2,2,all,julho_levels,individual,1935,1654,0.8547803617571059,0.2924766454669004,0.40448679619889444,0.0003236070575549968,0.5963679119645147,1.3023067936343817,2.0071255579231
2,2,all,julho_levels,common_three,1935,1654,0.8547803617571059,0.2924766454669004,0.40448679619889444,0.0003236070575549968,0.5963679119645147,1.3023067936343817,2.0071255579231
12,2,all,julho_levels,individual,1935,1765,0.9121447028423773,0.19760730546169264,0.28987834750342445,0.01184436052267257,0.47950329124381563,0.7509826566773425,2.284953358433355
12,2,all,julho_levels,common_three,1935,1765,0.9121447028423773,0.19760730546169264,0.28987834750342445,0.01184436052267257,0.47950329124381563,0.7509826566773425,2.284953358433355
6,2,level_ge_7m,reference,individual,235,177,0.7531914893617021,0.34528151450281547,0.48995085522854015,0.14168695048914437,0.815975732730028,1.0588579412598857,2.1591250166535616
6,2,level_ge_7m,reference,common_three,235,177,0.7531914893617021,0.34528151450281547,0.48995085522854015,0.14168695048914437,0.815975732730028,1.0588579412598857,2.1591250166535616
2,2,level_ge_7m,reference,individual,235,129,0.548936170212766,0.5936097798196723,0.7740112074767682,0.35511407360288705,1.5183632059180223,1.6585046074177652,2.070312570131458
2,2,level_ge_7m,reference,common_three,235,129,0.548936170212766,0.5936097798196723,0.7740112074767682,0.35511407360288705,1.5183632059180223,1.6585046074177652,2.070312570131458
12,2,level_ge_7m,reference,individual,235,204,0.8680851063829788,0.2751691198395785,0.42210193936600554,0.05613968496059224,0.6099141826035516,1.126993325292443,2.3628209226494157
12,2,level_ge_7m,reference,common_three,235,204,0.8680851063829788,0.2751691198395785,0.42210193936600554,0.05613968496059224,0.6099141826035516,1.126993325292443,2.3628209226494157
6,2,level_ge_7m,julho_levels,individual,235,174,0.7404255319148936,0.3389290233565138,0.47908119473452515,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
6,2,level_ge_7m,julho_levels,common_three,235,174,0.7404255319148936,0.3389290233565138,0.47908119473452515,0.14920058877153652,0.777187118768051,1.0328663101400746,2.1256756873033744
2,2,level_ge_7m,julho_levels,individual,235,131,0.5574468085106383,0.586335168815875,0.7657973337496164,0.3626506854746214,1.5104653004118298,1.6558269902731486,2.0071255579231
2,2,level_ge_7m,julho_levels,common_three,235,131,0.5574468085106383,0.586335168815875,0.7657973337496164,0.3626506854746214,1.5104653004118298,1.6558269902731486,2.0071255579231
12,2,level_ge_7m,julho_levels,individual,235,206,0.8765957446808511,0.2693707802407722,0.4103589155469247,0.06364729323608677,0.6068771718858315,1.0584090009375542,2.284953358433355
12,2,level_ge_7m,julho_levels,common_three,235,206,0.8765957446808511,0.2693707802407722,0.4103589155469247,0.06364729323608677,0.6068771718858315,1.0584090009375542,2.284953358433355
6,3,all,reference,individual,1932,1649,0.8535196687370601,0.25284834160911157,0.3680784944683692,-0.0015993326400558473,0.5930738736616346,1.0101685911026854,2.8988829116145745
6,3,all,reference,common_three,1932,1649,0.8535196687370601,0.25284834160911157,0.3680784944683692,-0.0015993326400558473,0.5930738736616346,1.0101685911026854,2.8988829116145745
