phase,horizon_h,population,region,rows,amount_cells,amount_missing,amount_finite_zero,rows_amount_all_missing,coverage_cells,coverage_missing,coverage_below_half,coverage_min,coverage_median,coverage_max
validation,9,combined_training,Carreiro,4838,43542,4051,19805,407,29028,0,2669,0.046801872074883,0.9637285491419656,0.999561232449298
validation,9,combined_training,Prata-Turvo,4838,43542,34,22675,0,29028,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,9,combined_training,Alto Antas,4838,43542,43,21243,0,29028,0,33,0.0992246513654852,0.9494948027632513,0.9991401155658854
validation,9,combined_training,Tainhas,4838,43542,39,26918,0,29028,0,31,0.11402834699453551,1.0,1.0
validation,9,evaluation_high_full_schedule,Baixo Antas,28,252,0,11,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,9,evaluation_high_full_schedule,Carreiro,28,252,0,8,0,168,0,0,0.891185647425897,0.9447802912116485,0.9964898595943839
validation,9,evaluation_high_full_schedule,Prata-Turvo,28,252,0,12,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
validation,9,evaluation_high_full_schedule,Alto Antas,28,252,0,3,0,168,0,0,0.8370036800309897,0.9811569904448318,0.9982802311317709
validation,9,evaluation_high_full_schedule,Tainhas,28,252,0,3,0,168,0,0,1.0,1.0,1.0
validation,10,original_training,Baixo Antas,4350,39150,156,24073,0,26100,0,148,0.1512373554913295,0.9053468208092484,0.994084176300578
validation,10,original_training,Carreiro,4350,39150,388,19611,0,26100,0,227,0.07683307332293292,0.9695787831513261,0.999561232449298
validation,10,original_training,Prata-Turvo,4350,39150,34,21096,0,26100,0,26,0.13350657427149967,0.998376791637053,1.0
validation,10,original_training,Alto Antas,4350,39150,41,19957,0,26100,0,31,0.0992246513654852,0.9561164374717541,0.9991401155658854
validation,10,original_training,Tainhas,4350,39150,38,24757,0,26100,0,30,0.11402834699453551,1.0,1.0
validation,10,added2023_training,Baixo Antas,485,4365,3660,177,406,2910,0,2442,0.28901734104046245,0.32947976878612717,0.7802113439306358
validation,10,added2023_training,Carreiro,485,4365,3654,193,406,2910,0,2436,0.046801872074883,0.0514820592823713,0.781371879875195
validation,10,added2023_training,Prata-Turvo,485,4365,0,1578,0,2910,0,0,0.7356076759061834,0.7356076759061834,0.8027718550106611
validation,10,added2023_training,Alto Antas,485,4365,2,1284,0,2910,0,2,0.49506101104009304,0.7425915165601394,0.7956402527600233
validation,10,added2023_training,Tainhas,485,4365,1,2151,0,2910,0,1,0.3907103825136612,1.0,1.0
validation,10,combined_training,Baixo Antas,4835,43515,3816,24250,406,29010,0,2590,0.1512373554913295,0.9031415582851636,0.994084176300578
validation,10,combined_training,Carreiro,4835,43515,4042,19804,406,29010,0,2663,0.046801872074883,0.9637285491419656,0.999561232449298
validation,10,combined_training,Prata-Turvo,4835,43515,34,22674,0,29010,0,26,0.13350657427149967,0.9967128642501777,1.0
validation,10,combined_training,Alto Antas,4835,43515,43,21241,0,29010,0,33,0.0992246513654852,0.9494948027632513,0.9991401155658854
validation,10,combined_training,Tainhas,4835,43515,39,26908,0,29010,0,31,0.11402834699453551,1.0,1.0
validation,10,evaluation_high_full_schedule,Baixo Antas,28,252,0,10,0,168,0,0,0.7160404624277458,0.9645050578034682,0.994084176300578
validation,10,evaluation_high_full_schedule,Carreiro,28,252,0,7,0,168,0,0,0.891185647425897,0.9454221918876755,0.9964898595943839
validation,10,evaluation_high_full_schedule,Prata-Turvo,28,252,0,11,0,168,0,0,0.9834273572613126,0.9989042880833927,0.9998630360104241
