horizon_h,subset,population,family,observed_targets,n,excluded_n,hits,hit_fraction,mae_m,bias_m,p90_abs_m,p98_abs_m,max_abs_m
5,all,common_four,reference,1940,1298,642,1034,0.7966101694915254,0.33619173078763026,0.08474058612290214,0.7146922009199438,1.4768721871048032,2.847803712923188
5,all,common_four,observed_julho,1940,1298,642,971,0.7480739599383667,0.3548079487032768,0.03593109442374245,0.75453397531158,1.311981409876645,1.8683555053233043
5,all,common_four,observed_carreiro,1940,1298,642,1029,0.7927580893682589,0.337853174361917,0.08804049497071584,0.7223987710825038,1.4661086136718515,2.836085543127581
5,all,common_four,observed_both,1940,1298,642,969,0.7465331278890601,0.35639184102610244,0.039156121917798145,0.7544000752793223,1.318665723947411,1.9389581357172752
5,high,individual,reference,237,235,2,131,0.5574468085106383,0.6633782520447192,0.25341805394247013,1.5035298788605944,2.673171457257972,3.210054029360098
5,high,individual,observed_julho,237,185,52,111,0.6,0.5276323297565696,0.3246714339338644,1.3193684043224336,1.560026459440009,1.8683555053233043
5,high,individual,observed_carreiro,237,184,53,80,0.43478260869565216,0.7899470471380915,0.3087373585448828,1.6304012551875735,2.7742418745899617,3.291308886787771
5,high,individual,observed_both,237,144,93,73,0.5069444444444444,0.6175296501533085,0.3943932448253514,1.3694776961037733,1.598584552106973,1.9389581357172752
5,high,common_four,reference,237,144,93,67,0.4652777777777778,0.7633818506865594,0.3418198698791262,1.59624546677846,2.5036898018086706,2.847803712923188
5,high,common_four,observed_julho,237,144,93,74,0.5138888888888888,0.6033330661831287,0.3830646848771442,1.364727338521865,1.5840099647521941,1.8683555053233043
5,high,common_four,observed_carreiro,237,144,93,64,0.4444444444444444,0.7773450880010212,0.3532377183432301,1.6304012551875735,2.5647021683868103,2.836085543127581
5,high,common_four,observed_both,237,144,93,73,0.5069444444444444,0.6175296501533085,0.3943932448253514,1.3694776961037733,1.598584552106973,1.9389581357172752
6,all,individual,reference,1939,1926,13,1458,0.7570093457943925,0.3640820566980719,0.032982611847010394,0.7270151656874848,1.5270493283282969,4.190778631942209
6,all,individual,observed_julho,1939,1420,519,1049,0.7387323943661972,0.3667045414955895,0.03318332410275827,0.7610939638668792,1.3924315575496227,1.8611366460490402
6,all,individual,observed_carreiro,1939,1675,264,1232,0.7355223880597015,0.3819351663574133,0.04408127502213399,0.7435931901840334,1.5999815574685035,4.167434138584447
6,all,individual,observed_both,1939,1225,714,891,0.7273469387755102,0.37759234641189987,0.04156351844292031,0.7711881566032199,1.450808096373995,1.8454142234155562
6,all,common_four,reference,1939,1225,714,926,0.7559183673469387,0.37552291258699194,0.10890982360304413,0.7517391131153405,1.6840111379376965,4.190778631942209
6,all,common_four,observed_julho,1939,1225,714,894,0.7297959183673469,0.3755845927605842,0.03618974838668768,0.7719307201486956,1.472476577479496,1.8611366460490402
6,all,common_four,observed_carreiro,1939,1225,714,919,0.7502040816326531,0.37757883807063347,0.11447455274355323,0.7472053576156626,1.6576174449214593,4.167434138584447
6,all,common_four,observed_both,1939,1225,714,891,0.7273469387755102,0.37759234641189987,0.04156351844292031,0.7711881566032199,1.450808096373995,1.8454142234155562
6,high,individual,reference,237,235,2,115,0.48936170212765956,0.7578530200612832,0.2947112234905556,1.7282359883699792,2.993015996634633,4.190778631942209
6,high,individual,observed_julho,237,173,64,98,0.5664739884393064,0.5801782147188734,0.37484483436085453,1.473136131034239,1.7070644222349813,1.7624848649037848
6,high,individual,observed_carreiro,237,182,55,65,0.35714285714285715,0.921720426117654,0.3610285029126307,1.879842473411978,3.3019193781894356,4.167434138584447
6,high,individual,observed_both,237,133,104,58,0.43609022556390975,0.6896191494027625,0.4587932155376731,1.511781443204113,1.751618971745929,1.8454142234155562
6,high,common_four,reference,237,133,104,50,0.37593984962406013,0.8959000663659353,0.4206319044989072,1.8067736074195628,3.109218292721151,4.190778631942209
6,high,common_four,observed_julho,237,133,104,63,0.47368421052631576,0.672040964414123,0.4435677153259055,1.5200465255499314,1.7096745406046558,1.7624848649037848
6,high,common_four,observed_carreiro,237,133,104,48,0.3609022556390977,0.9158647312078217,0.4360147616331891,1.8767943914930867,3.043770512639785,4.167434138584447
6,high,common_four,observed_both,237,133,104,58,0.43609022556390975,0.6896191494027625,0.4587932155376731,1.511781443204113,1.751618971745929,1.8454142234155562
