phase,horizon_h,input_column,median,mean,scale,standardized_coefficient,original_unit_coefficient
test,2,16,-0.007500000000000007,0.005821573103662965,0.10949215191894349,0.06545390569527783,0.5977954086036508
test,2,17,-0.0050000000000000044,0.004426688803569576,0.08555893827784505,0.03721532525183838,0.434967123259348
test,2,19,0.0,-0.0012161461035591966,0.15951055767738279,-0.00019185855878502193,-0.0012027953608755128
test,2,20,0.0,-0.0005011933174224339,0.1375623017650403,0.002913029985493266,0.021176077661660467
test,2,21,0.0,-7.367437999377455e-05,0.11119591850105351,0.004205015719115812,0.03781627757385693
test,2,22,0.0,7.704679879630733e-05,0.08497264942944069,0.003121584356050797,0.036736342540935926
test,2,23,0.0,0.0007979661720452421,0.06155137293204898,0.0014887222092238633,0.02418666129295559
validation,3,1,0.0,0.014946126218573634,0.15883752172737087,0.06418863220216257,0.4041150447583544
validation,3,2,-0.010000000000000009,0.013232426885582352,0.15324309355139315,0.04109710818173579,0.26818244939667085
validation,3,3,-0.010000000000000009,0.011886865059004615,0.14829451779855157,0.0037015819346241895,0.024961016695523076
validation,3,4,-0.007500000000000007,0.01022319138019497,0.13804039832937895,-0.019630245028520996,-0.14220652262739172
validation,3,5,-0.006249999999999978,0.009078052847614163,0.12032541118436188,-0.04022999045879707,-0.33434326184979263
validation,3,7,0.0,0.007557721908671096,0.1795394523763865,0.011357201561577624,0.06325741451950287
validation,3,8,0.0,0.007567983581323756,0.1722008746268591,0.015729864425991325,0.09134601935138983
validation,3,9,0.0,0.008851975371985633,0.16158391192367397,0.018928850432686904,0.11714563787531129
validation,3,10,-0.0024999999999999467,0.013640969728065675,0.1484702280475937,0.021321700602997765,0.14360926687714706
validation,3,11,-0.0012500000000000289,0.015501859928168294,0.12457642553933673,0.030115804061121954,0.24174561062207128
validation,3,13,0.0,0.017583376090302704,0.15456989051083733,0.07689687677784393,0.4974893656436437
validation,3,14,-0.009999999999999787,0.01918932786044125,0.1559186667804726,0.07302583769012569,0.4683585307520826
validation,3,15,-0.0050000000000000044,0.020407901487942533,0.15259172937595314,0.08524438716457018,0.5586435615690964
validation,3,16,-0.0050000000000000044,0.01760646485377117,0.13581841110295756,0.07885140729760888,0.5805649370896803
validation,3,17,-0.0050000000000000044,0.01263340174448435,0.10873453562852592,0.028905472771673855,0.26583525284390563
validation,3,19,0.0,0.003088763468445363,0.14774620405507347,0.004025073596026647,0.027243160809236572
validation,3,20,0.0,0.0029938429964084167,0.12473899055655047,0.01158605309247434,0.09288237014569874
validation,3,21,0.0,0.003551821446895844,0.10375542050299168,0.010724958669856717,0.10336769508391587
validation,3,22,0.0,0.0037307593637762966,0.08380454302723797,0.01264152963881153,0.15084539790047907
validation,3,23,0.0,0.00445581067213956,0.0681589412902381,0.00831548186517195,0.12200133552196056
test,3,1,-0.019999999999999574,0.007220580743759555,0.12985715630482272,0.08125983781535429,0.6257632627085058
test,3,2,-0.010000000000000009,0.006014518593988796,0.12463930810511216,0.0372997697169007,0.29926168785729024
test,3,3,-0.010000000000000009,0.004714340295466124,0.11908835580973251,-0.01958845341696163,-0.16448672318776578
test,3,4,-0.009999999999999981,0.0034868186449312274,0.10894691928237081,-0.03183047674805158,-0.29216500069683216
test,3,5,-0.006249999999999978,0.0030531074885379516,0.09221125853724327,-0.030564533288037404,-0.3314620554245301
test,3,7,0.0,0.0035761589403973462,0.15502415529040617,0.0023895101361718542,0.015413792332527753
test,3,8,0.0,0.003792154865002549,0.14960203822696802,0.011351345753338692,0.07587694584827148
test,3,9,0.0,0.00476158940397351,0.14020850571853072,0.03025869276934174,0.21581210508074467
test,3,10,0.0,0.007828069281711664,0.12633353114629248,0.021665876992027912,0.17149743852991117
test,3,11,-0.0012499999999999734,0.007981788079470201,0.10040264940656339,-0.004722939749002743,-0.04703999124443425
test,3,13,0.0,0.010783494651044317,0.13501913033117957,0.0680291020322146,0.5038478759665425
test,3,14,-0.010000000000000009,0.011673968415690272,0.1351943551811264,0.05485559565951407,0.40575359515581383
test,3,15,-0.010000000000000009,0.012273051451859399,0.1313523795097137,0.07492605140768185,0.5704202062220042
test,3,16,-0.007499999999999951,0.009417218543046358,0.1131425068029305,0.08479258400135005,0.7494317246217655
test,3,17,-0.0050000000000000044,0.005888053998981152,0.08703527440065953,0.05573146992726241,0.6403319839115724
test,3,19,0.0,-9.780947529291727e-05,0.16035845802102128,0.0008963069697893671,0.00558939628661103
test,3,20,0.0,0.0006989302088639856,0.13925045158566893,0.0048991967758128165,0.03518262756080729
test,3,21,0.0,0.0008191543555781984,0.1118868251414911,0.005992823482856746,0.053561475850961666
test,3,22,0.0,0.0007901171676006122,0.08557424772559707,0.004663294415779131,0.05449413275279358
test,3,23,0.0,0.0015459755476311765,0.0625381209803658,0.0015241232857637864,0.02437110776389162
validation,4,1,0.0,0.013804428962428473,0.15992761665232388,0.061925981484953624,0.38721255766337204
validation,4,2,-0.010000000000000009,0.011933316745459076,0.15421899337343517,0.04128441173110208,0.2676999170337827
validation,4,3,-0.010000000000000009,0.010230156755411795,0.1488948774295399,0.0020302326252391524,0.01363534233204161
validation,4,4,-0.007500000000000007,0.008240855934312017,0.13890985372685918,-0.024542119179325847,-0.17667658931945487
