phase,profile,horizon_h,subset,family,carreiro_availability,classified_rows,unknown_truth,observed_targets,pairs,failures,hits,sum_abs_error_m,mae_m,bias_m,max_abs_m
test,A,5,level_ge_7m,profile_B_control,partial,16,0,16,16,0,16,3.410410580689269,0.2131506612930793,0.056109146990820535,0.3935857186979721
test,A,5,level_ge_7m,profile_B_control,fully_missing,99,18,81,80,1,49,69.49086844605812,0.8686358555757264,-0.41316552025829323,5.577554864047173
test,A,5,level_ge_7m,mixed_profile_candidate,complete,145,5,140,140,0,115,43.78544093361792,0.31275314952584227,-0.0020146009257633133,1.3596246628316564
test,A,5,level_ge_7m,mixed_profile_candidate,partial,16,0,16,16,0,16,3.421115147733177,0.21381969673332357,0.08600724327548648,0.46316089317408426
test,A,5,level_ge_7m,mixed_profile_candidate,fully_missing,99,18,81,80,1,47,67.88994922276792,0.8486243652845991,-0.3779434545470778,5.4406707406415205
test,A,5,level_ge_7m,carreiro_missing_exposure,complete,145,5,140,140,0,114,43.74114319448846,0.312436737103489,0.023592146479467335,1.5014755080314046
test,A,5,level_ge_7m,carreiro_missing_exposure,partial,16,0,16,16,0,16,3.519719612241217,0.21998247576507607,0.034409979783685596,0.3827674274605073
test,A,5,level_ge_7m,carreiro_missing_exposure,fully_missing,99,18,81,80,1,49,64.58375189405724,0.8072968986757155,-0.34301489750163866,5.360948850950573
test,A,6,all,profile_A_control,complete,1402,5,1397,1392,5,1291,241.6985161858259,0.17363399151280595,-0.007561123224385415,1.7283310963313863
test,A,6,all,profile_A_control,partial,16,0,16,16,0,16,3.337257932843701,0.20857862080273132,0.08808642909180514,0.38317811632300636
test,A,6,all,profile_A_control,fully_missing,544,18,526,519,7,465,148.17575338691591,0.28550241500369156,-0.08122170503503966,6.383213756919677
test,A,6,all,profile_B_control,complete,1402,5,1397,1392,5,1278,260.13357855154993,0.18687757079852724,-0.026535895927427312,1.8975103512923575
test,A,6,all,profile_B_control,partial,16,0,16,16,0,16,3.2959345757559593,0.20599591098474745,0.09626755428775569,0.4123253350457494
test,A,6,all,profile_B_control,fully_missing,544,18,526,519,7,458,155.16525843990098,0.29896966944104236,-0.07576383270326573,6.489096647827269
test,A,6,all,mixed_profile_candidate,complete,1402,5,1397,1392,5,1299,246.37640161341503,0.17699454138894757,-0.00806613946341163,2.0722353433277156
test,A,6,all,mixed_profile_candidate,partial,16,0,16,16,0,16,3.4583671840800703,0.2161479490050044,0.091481728254374,0.4137889663130663
test,A,6,all,mixed_profile_candidate,fully_missing,544,18,526,519,7,465,150.85101843487462,0.29065706827528826,-0.073570985167939,6.299646491687942
test,A,6,all,carreiro_missing_exposure,complete,1402,5,1397,1392,5,1287,255.85080570190405,0.18380086616516095,-0.007315543464383255,2.00042083909587
test,A,6,all,carreiro_missing_exposure,partial,16,0,16,16,0,16,3.4807872119286527,0.2175492007455408,0.1016441857215446,0.4936395893259471
test,A,6,all,carreiro_missing_exposure,fully_missing,544,18,526,519,7,462,144.39007291345698,0.27820823297390557,-0.04538233521956799,5.969048752400869
test,A,6,level_ge_7m,profile_A_control,complete,145,5,140,140,0,106,52.69030792836069,0.3763593423454335,0.02656660344749947,1.7283310963313863
test,A,6,level_ge_7m,profile_A_control,partial,15,0,15,15,0,15,3.003757609861162,0.20025050732407745,0.1161922125634281,0.38317811632300636
test,A,6,level_ge_7m,profile_A_control,fully_missing,100,18,82,81,1,41,88.95889119181354,1.0982579159483152,-0.5158028718510143,6.383213756919677
