phase,horizon_h,contrast,reference,candidate,reference_hits,candidate_hits,change_hits,reference_mae_m,candidate_mae_m,change_mae_m,reference_bias_m,candidate_bias_m,change_bias_m,reference_p98_abs_m,candidate_p98_abs_m,change_p98_abs_m,reference_max_abs_m,candidate_max_abs_m,change_max_abs_m
validation,5,aux_without_rain_augmented,core_augmented,levels45_augmented,25,24,-1,0.33939668441956805,0.27014992932963494,-0.06924675508993311,0.26325490880552355,0.174595590150947,-0.08865931865457655,0.636477440506355,0.6701494219793332,0.03367198147297823,0.7010857238643133,0.7206801149027191,0.019594391038405767
validation,6,year120,observed_control,augmented,24,18,-6,0.2587119452642057,0.5312876350232505,0.2725756897590448,-0.04575799295960744,0.48120607609669325,0.5269640690563007,0.894448299163738,1.6375307625223328,0.7430824633585947,1.0962896884715265,2.106793462509512,1.0105037740379856
validation,6,year33,core_original,core_augmented,18,20,2,0.36602555505585277,0.3287385349061966,-0.03728702014965618,0.2700365396904457,0.2950200215259112,0.024983481835465504,0.7863044638957197,0.8368727278649268,0.050568263969207106,0.8062969659750845,1.0186411971296492,0.2123442311545647
validation,6,year45,levels45_original,levels45_augmented,25,27,2,0.26119900415426917,0.27375141907789435,0.012552414923625188,0.16596199532417208,0.20431519760129704,0.038353202277124965,0.7845787883035895,0.9160310303248398,0.13145224202125028,1.0616075157302118,1.4183387352029326,0.3567312194727208
validation,6,year108,rain108_original,rain108_augmented,20,17,-3,0.3455395898572123,0.5194484855803914,0.17390889572317908,0.23094093476892813,0.5142277357846271,0.283286801015699,1.0360670076191416,1.268190837752832,0.2321238301336903,1.2312293057316301,1.6895019917296734,0.45827268599804327
validation,6,rain_with_aux_original,levels45_original,observed_control,25,24,-1,0.26119900415426917,0.2587119452642057,-0.002487058890063454,0.16596199532417208,-0.04575799295960744,-0.21171998828377953,0.7845787883035895,0.894448299163738,0.10986951086014851,1.0616075157302118,1.0962896884715265,0.03468217274131469
validation,6,rain_with_aux_augmented,levels45_augmented,augmented,27,18,-9,0.27375141907789435,0.5312876350232505,0.25753621594535614,0.20431519760129704,0.48120607609669325,0.2768908784953962,0.9160310303248398,1.6375307625223328,0.721499732197493,1.4183387352029326,2.106793462509512,0.6884547273065795
validation,6,rain_without_aux_original,core_original,rain108_original,18,20,2,0.36602555505585277,0.3455395898572123,-0.020485965198640488,0.2700365396904457,0.23094093476892813,-0.03909560492151759,0.7863044638957197,1.0360670076191416,0.24976254372342188,0.8062969659750845,1.2312293057316301,0.42493233975654565
validation,6,rain_without_aux_augmented,core_augmented,rain108_augmented,20,17,-3,0.3287385349061966,0.5194484855803914,0.19070995067419477,0.2950200215259112,0.5142277357846271,0.21920771425871588,0.8368727278649268,1.268190837752832,0.4313181098879051,1.0186411971296492,1.6895019917296734,0.6708607946000242
validation,6,aux_with_rain_original,rain108_original,observed_control,20,24,4,0.3455395898572123,0.2587119452642057,-0.08682764459300657,0.23094093476892813,-0.04575799295960744,-0.27669892772853555,1.0360670076191416,0.894448299163738,-0.14161870845540359,1.2312293057316301,1.0962896884715265,-0.13493961726010362
validation,6,aux_with_rain_augmented,rain108_augmented,augmented,17,18,1,0.5194484855803914,0.5312876350232505,0.011839149442859132,0.5142277357846271,0.48120607609669325,-0.03302165968793386,1.268190837752832,1.6375307625223328,0.36933992476950084,1.6895019917296734,2.106793462509512,0.41729147077983875
validation,6,aux_without_rain_original,core_original,levels45_original,18,25,7,0.36602555505585277,0.26119900415426917,-0.1048265509015836,0.2700365396904457,0.16596199532417208,-0.10407454436627364,0.7863044638957197,0.7845787883035895,-0.0017256755921302158,0.8062969659750845,1.0616075157302118,0.25531054975512735
validation,6,aux_without_rain_augmented,core_augmented,levels45_augmented,20,27,7,0.3287385349061966,0.27375141907789435,-0.054987115828302235,0.2950200215259112,0.20431519760129704,-0.09070482392461418,0.8368727278649268,0.9160310303248398,0.07915830245991295,1.0186411971296492,1.4183387352029326,0.39969753807328345
validation,7,year120,observed_control,augmented,18,13,-5,0.4275016599210431,0.6025350880058274,0.17503342808478434,0.3297182360213466,0.5028729582963215,0.17315472227497491,1.6964790563889107,2.3073552280408416,0.6108761716519309,2.6556568259868305,3.5232943603510334,0.8676375343642029
validation,7,year33,core_original,core_augmented,14,12,-2,0.6078303137971195,0.5430264805978036,-0.06480383319931593,0.15945467898784663,0.1228067207312713,-0.036647958256575325,1.9770743590418007,1.3284141247667718,-0.648660234275029,2.1731637685717393,1.579040834168672,-0.5941229344030674
validation,7,year45,levels45_original,levels45_augmented,18,20,2,0.4516265327614693,0.39651007888547046,-0.05511645387599884,0.27706116010883813,0.11535039203543336,-0.1617107680734048,1.7887419633980002,1.1594289450146336,-0.6293130183833666,2.4622203534089087,1.3891604778493312,-1.0730598755595775
validation,7,year108,rain108_original,rain108_augmented,19,20,1,0.3689476900100909,0.47269984393311365,0.10375215392302273,0.277726566271424,0.3537806737202343,0.0760541074488103,1.5840301704121171,2.1605789158081263,0.5765487453960092,2.3187762779497527,3.3713138680035017,1.052537590053749
validation,7,rain_with_aux_original,levels45_original,observed_control,18,18,0,0.4516265327614693,0.4275016599210431,-0.024124872840426193,0.27706116010883813,0.3297182360213466,0.052657075912508455,1.7887419633980002,1.6964790563889107,-0.09226290700908946,2.4622203534089087,2.6556568259868305,0.19343647257792185
validation,7,rain_with_aux_augmented,levels45_augmented,augmented,20,13,-7,0.39651007888547046,0.6025350880058274,0.20602500912035698,0.11535039203543336,0.5028729582963215,0.38752256626088816,1.1594289450146336,2.3073552280408416,1.147926283026208,1.3891604778493312,3.5232943603510334,2.134133882501702
validation,7,rain_without_aux_original,core_original,rain108_original,14,19,5,0.6078303137971195,0.3689476900100909,-0.23888262378702857,0.15945467898784663,0.277726566271424,0.11827188728357738,1.9770743590418007,1.5840301704121171,-0.3930441886296836,2.1731637685717393,2.3187762779497527,0.1456125093780134
validation,7,rain_without_aux_augmented,core_augmented,rain108_augmented,12,20,8,0.5430264805978036,0.47269984393311365,-0.07032663666468991,0.1228067207312713,0.3537806737202343,0.230973952988963,1.3284141247667718,2.1605789158081263,0.8321647910413545,1.579040834168672,3.3713138680035017,1.7922730338348298
validation,7,aux_with_rain_original,rain108_original,observed_control,19,18,-1,0.3689476900100909,0.4275016599210431,0.058553969910952186,0.277726566271424,0.3297182360213466,0.05199166974992259,1.5840301704121171,1.6964790563889107,0.11244888597679359,2.3187762779497527,2.6556568259868305,0.3368805480370778
validation,7,aux_with_rain_augmented,rain108_augmented,augmented,20,13,-7,0.47269984393311365,0.6025350880058274,0.1298352440727138,0.3537806737202343,0.5028729582963215,0.1490922845760872,2.1605789158081263,2.3073552280408416,0.14677631223271526,3.3713138680035017,3.5232943603510334,0.15198049234753164
validation,7,aux_without_rain_original,core_original,levels45_original,14,18,4,0.6078303137971195,0.4516265327614693,-0.1562037810356502,0.15945467898784663,0.27706116010883813,0.11760648112099151,1.9770743590418007,1.7887419633980002,-0.18833239564380055,2.1731637685717393,2.4622203534089087,0.28905658483716934
validation,7,aux_without_rain_augmented,core_augmented,levels45_augmented,12,20,8,0.5430264805978036,0.39651007888547046,-0.1465164017123331,0.1228067207312713,0.11535039203543336,-0.007456328695837941,1.3284141247667718,1.1594289450146336,-0.16898517975213823,1.579040834168672,1.3891604778493312,-0.18988035631934075
validation,8,year120,observed_control,augmented,20,11,-9,0.4882291267479996,0.8295587643236738,0.3413296375756742,0.34922148163674116,0.7911654533875306,0.4419439717507895,2.4609671216876006,2.8113464732443676,0.350379351556767,2.5050304061770072,3.2509934262678986,0.7459630200908913
validation,8,year33,core_original,core_augmented,10,11,1,0.6772317004885983,0.6417595458558502,-0.03547215463274811,0.2740531056642435,0.17184203453427527,-0.10221107112996825,1.6728858407829161,1.8143675466836513,0.14148170590073517,1.6900957870747808,1.8434187918462035,0.1533230047714227
validation,8,year45,levels45_original,levels45_augmented,12,15,3,0.665381000442917,0.5273813538589766,-0.13799964658394048,0.46098480101915124,0.15413284713114433,-0.3068519538880069,2.383746603284902,1.691886135960962,-0.6918604673239399,3.106415065505412,2.063489743985193,-1.0429253215202188
validation,8,year108,rain108_original,rain108_augmented,19,13,-6,0.5248808704934721,0.7585210737109672,0.23364020321749512,0.3009171604062513,0.7243235038408964,0.42340634343464506,2.0521502648129926,2.6437027003090487,0.5915524354960562,2.2082545503121676,3.2132108690294476,1.00495631871728
validation,8,rain_with_aux_original,levels45_original,observed_control,12,20,8,0.665381000442917,0.4882291267479996,-0.17715187369491742,0.46098480101915124,0.34922148163674116,-0.11176331938241008,2.383746603284902,2.4609671216876006,0.07722051840269861,3.106415065505412,2.5050304061770072,-0.6013846593284047
validation,8,rain_with_aux_augmented,levels45_augmented,augmented,15,11,-4,0.5273813538589766,0.8295587643236738,0.30217741046469726,0.15413284713114433,0.7911654533875306,0.6370326062563862,1.691886135960962,2.8113464732443676,1.1194603372834055,2.063489743985193,3.2509934262678986,1.1875036822827054
validation,8,rain_without_aux_original,core_original,rain108_original,10,19,9,0.6772317004885983,0.5248808704934721,-0.15235082999512617,0.2740531056642435,0.3009171604062513,0.026864054742007815,1.6728858407829161,2.0521502648129926,0.37926442403007643,1.6900957870747808,2.2082545503121676,0.5181587632373867
validation,8,rain_without_aux_augmented,core_augmented,rain108_augmented,11,13,2,0.6417595458558502,0.7585210737109672,0.11676152785511706,0.17184203453427527,0.7243235038408964,0.5524814693066211,1.8143675466836513,2.6437027003090487,0.8293351536253974,1.8434187918462035,3.2132108690294476,1.3697920771832441
validation,8,aux_with_rain_original,rain108_original,observed_control,19,20,1,0.5248808704934721,0.4882291267479996,-0.036651743745472476,0.3009171604062513,0.34922148163674116,0.04830432123048983,2.0521502648129926,2.4609671216876006,0.408816856874608,2.2082545503121676,2.5050304061770072,0.2967758558648397
