role,period,horizon_h,population,subset,family,observed_targets,pairs,failures,raw_hits,normalized_hits,hits_delta,raw_mae_m,normalized_mae_m,mae_m_delta,raw_bias_m,normalized_bias_m,bias_m_delta,raw_p98_abs_m,normalized_p98_abs_m,p98_abs_m_delta,raw_max_abs_m,normalized_max_abs_m,max_abs_m_delta
original_2025_2026,validation,7,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,8,full_schedule,all,original,6510,6470,40,5980,5997,17,0.1737857161039854,0.17358653716331143,-0.00019917894067397746,0.07021685907380332,0.07167686497578893,0.0014600059019856115,0.8389279903809922,0.8415473511213604,0.0026193607403681707,2.692538070308298,2.690148971436266,-0.0023890988720323136
original_2025_2026,validation,8,full_schedule,all,plus2020,6510,6470,40,6063,6072,9,0.17592569270916875,0.17542182507909007,-0.0005038676300786749,0.05787056114404351,0.05677571987300818,-0.0010948412710353253,0.8317181234267347,0.819676262240829,-0.012041861185905667,3.2392303266477276,3.2373584988666737,-0.0018718277810538808
original_2025_2026,validation,8,full_schedule,level_ge_7m,original,28,28,0,20,20,0,0.4882291267479996,0.4819940176575092,-0.006235109090490409,0.34922148163674116,0.35021039510044016,0.0009889134636990038,2.4609671216876006,2.487492483155291,0.026525361467690356,2.5050304061770072,2.5196661834589262,0.014635777281919005
original_2025_2026,validation,8,full_schedule,level_ge_7m,plus2020,28,28,0,21,21,0,0.37579139202211265,0.3651397074878184,-0.01065168453429427,0.19075273989476482,0.16986439063159056,-0.02088834926317426,0.75207939358649,0.724692903657884,-0.02738648992860604,0.7601263675107086,0.7323997066654551,-0.027726660845253548
original_2025_2026,validation,8,complete24,all,original,5882,5882,0,5488,5502,14,0.16373304279968726,0.16356904198080854,-0.00016400081887871232,0.06906971449483204,0.07101915946521956,0.001949444970387515,0.7926993911674007,0.7925080087680785,-0.00019138239932225964,2.692538070308298,2.690148971436266,-0.0023890988720323136
original_2025_2026,validation,8,complete24,all,plus2020,5882,5882,0,5575,5583,8,0.16402604541807303,0.16345418733608183,-0.0005718580819912,0.061078149671365885,0.05968048963219175,-0.0013976600391741381,0.7436874505651233,0.7302501057827323,-0.013437344782391003,3.2392303266477276,3.2373584988666737,-0.0018718277810538808
original_2025_2026,validation,8,complete24,level_ge_7m,original,28,28,0,20,20,0,0.4882291267479996,0.4819940176575092,-0.006235109090490409,0.34922148163674116,0.35021039510044016,0.0009889134636990038,2.4609671216876006,2.487492483155291,0.026525361467690356,2.5050304061770072,2.5196661834589262,0.014635777281919005
original_2025_2026,validation,8,complete24,level_ge_7m,plus2020,28,28,0,21,21,0,0.37579139202211265,0.3651397074878184,-0.01065168453429427,0.19075273989476482,0.16986439063159056,-0.02088834926317426,0.75207939358649,0.724692903657884,-0.02738648992860604,0.7601263675107086,0.7323997066654551,-0.027726660845253548
original_2025_2026,validation,8,missing24,all,original,628,588,40,492,495,3,0.274346641913308,0.2737955621012062,-0.0005510798121017846,0.08169220671582561,0.07825615717505603,-0.0034360495407695785,1.1132679089908313,1.1172090748828496,0.003941165892018317,1.6334763345769154,1.574482551120548,-0.05899378345636741
original_2025_2026,validation,8,missing24,all,plus2020,628,588,40,488,489,1,0.29496264061091204,0.2951389087599989,0.00017626814908683341,0.025783765705760905,0.02771814211192363,0.0019343764061627265,1.3624432228760974,1.364349093077479,0.0019058702013816653,1.7116657964903772,1.7135266667826907,0.0018608702923135212
original_2025_2026,validation,8,missing24,level_ge_7m,original,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,8,missing24,level_ge_7m,plus2020,0,0,0,0,0,0,,,,,,,,,,,,
original_2025_2026,validation,9,full_schedule,all,original,6509,6470,39,5862,5852,-10,0.20975928763948337,0.21157762397551472,0.0018183363360313454,0.0968513378323692,0.0974187811581145,0.0005674433257453065,0.9493061748169647,0.9513832693710454,0.002077094554080783,3.5173872091375897,3.5114932702595865,-0.005893938878003269
original_2025_2026,validation,9,full_schedule,all,plus2020,6509,6470,39,5870,5880,10,0.20792455646294256,0.2061987378610645,-0.0017258186018780652,0.07669021108949949,0.07087295105717129,-0.0058172600323282,0.9346271973484329,0.9188692006493245,-0.01575799669910838,3.2044479055913695,3.2764343759451457,0.07198647035377626
